message_id,customer_text,reply,groundedness,correctness,tone,actionability,factual_consistency,overall_score,judge_reason
3481eca0-e858-4e14-9c85-619387fa6b15,Replacement MacBook Pro does the same shit as the previous. @115858 needs to figure this shit out. @258943 I bet yours does this too? 😂 #MacBookProProblems,This is a mock draft reply. Please check your settings.,3,3,4,3,3,3.2,[MOCK] API is offline. Returning default median mock scores.
312da428-a364-482e-b8c1-0069b3c66ee0,": @115858 Siri still places a space before my first word when I dictate, live setting on camera ignores preserve toggle, rotation issues with keyboard... all low hanging fruit that make iOS feel cheap.",This is a mock draft reply. Please check your settings.,3,3,4,3,3,3.2,[MOCK] API is offline. Returning default median mock scores.
df21de3a-b22e-4121-9648-68660d9a1f53,"@AppleSupport Oh cool thanks, it’s no longer in my achievements though - you reckon it’ll still pull through within 9 days?",This is a mock draft reply. Please check your settings.,3,3,4,3,3,3.2,[MOCK] API is offline. Returning default median mock scores.
5f19549e-4898-416a-9d0e-16ea91e7bfa5,Ayo @115858 wtf is this question mark box I keep getting ???,This is a mock draft reply. Please check your settings.,3,3,4,3,3,3.2,[MOCK] API is offline. Returning default median mock scores.
6eb2e58b-a16d-4945-b964-09e67f8edd5e,i’m soo mad my phone is not working right i think it has s virus @AppleSupport,This is a mock draft reply. Please check your settings.,3,3,4,3,3,3.2,[MOCK] API is offline. Returning default median mock scores.
21c6d550-fc62-40ac-91e0-af132423542d,@115858 Also your “fix” doesn’t work!!!,This is a mock draft reply. Please check your settings.,3,3,4,3,3,3.2,[MOCK] API is offline. Returning default median mock scores.
f15c7a8b-863c-4a3f-8044-b6ada5a77d46,Is it normal to have an iPhone 7 as fast as an iPhone 4 after you put IOS 11 @AppleSupport ?,This is a mock draft reply. Please check your settings.,3,3,4,3,3,3.2,[MOCK] API is offline. Returning default median mock scores.
9adab499-f56c-4a39-901f-d80cb107a528,@AppleSupport That’s exactly what I did. Set it up as a new iPhone phone and it still freezes. 😞,This is a mock draft reply. Please check your settings.,3,3,4,3,3,3.2,[MOCK] API is offline. Returning default median mock scores.
3cf3c57a-171b-48d3-a1f9-05bd8fc5bae8,@AppleSupport ios 11 drains battery can you fix this,This is a mock draft reply. Please check your settings.,3,3,4,3,3,3.2,[MOCK] API is offline. Returning default median mock scores.
40390f45-7294-4b15-8a10-333dd53b27ef,"@115858 I've a problem, the mac isnt overheat but the fan is on max, not only that it's turn on as soon as i start up the mac and tht it make the mac run reallt slow Went to the genius bar they reset my whole laptop problem solve but when im home the laptop still have the problem",This is a mock draft reply. Please check your settings.,3,3,4,3,3,3.2,[MOCK] API is offline. Returning default median mock scores.
12f294e5-8358-401d-b81b-c493c0edb0e7,"@AppleSupport not happy that on ordering it tells me ""signature required for delivery"" and then the shipping email tells me ""no signature""",This is a mock draft reply. Please check your settings.,3,3,4,3,3,3.2,[MOCK] API is offline. Returning default median mock scores.
d3062548-2675-4531-8de8-28d566fedeaf,"@115858 @117735 hey if you guys wanna help given that it was bought through you since your phone service people won't help, lmk",This is a mock draft reply. Please check your settings.,3,3,4,3,3,3.2,[MOCK] API is offline. Returning default median mock scores.
497cd831-096a-4c97-9a86-202ae36450ba,@419824 @115858 This happened to me a week or so ago. It seems the update reactivated the Background App Refresh. Once I turned it off it was fine.,This is a mock draft reply. Please check your settings.,3,3,4,3,3,3.2,[MOCK] API is offline. Returning default median mock scores.
ae2e8812-5161-4a9a-95c3-556c954bf6f6,"@AppleSupport my phone isn’t downloading any apps that I haven’t already downloaded before, like it’ll get to the process where it starts to but it never does",This is a mock draft reply. Please check your settings.,3,3,4,3,3,3.2,[MOCK] API is offline. Returning default median mock scores.
fc89ccb7-f3a4-4370-9609-480a9b9ba3d0,@AppleSupport My laptop’s doing this again,This is a mock draft reply. Please check your settings.,3,3,4,3,3,3.2,[MOCK] API is offline. Returning default median mock scores.
f6e3b014-1538-420f-b665-7ba7ce92f1f1,@115858 software update plz. I’m fed up with this,This is a mock draft reply. Please check your settings.,3,3,4,3,3,3.2,[MOCK] API is offline. Returning default median mock scores.
1f9aa6fa-0715-4d22-8fd0-afc542ab8c00,@AppleSupport Thanks I think I figured it out.,This is a mock draft reply. Please check your settings.,3,3,4,3,3,3.2,[MOCK] API is offline. Returning default median mock scores.
5019cbb7-e95a-4729-9ec9-10b79302d9d8,Just gave my I.T virus to my producer. What the hell is going on with our phones??? #iphone @115858 @AppleSupport,This is a mock draft reply. Please check your settings.,3,3,4,3,3,3.2,[MOCK] API is offline. Returning default median mock scores.
0a6c7033-7f99-4eb7-8efc-19c58ae32afa,"@AppleSupport my #iphone7’s battary life time has decreased sharply with this #IOS11 , I need to charge it twice daily !!",This is a mock draft reply. Please check your settings.,3,3,4,3,3,3.2,[MOCK] API is offline. Returning default median mock scores.
1eec2f37-78bd-417a-b97a-6f48affc5a4b,@AppleSupport I updated to 11.1.2 when the software was released. It still hasn’t helped unfortunately,This is a mock draft reply. Please check your settings.,3,3,4,3,3,3.2,[MOCK] API is offline. Returning default median mock scores.
c217df8a-e2e4-4d54-906d-ed092ad702df,"@AppleSupport Every time when i use wahtsapp, instagram and Twitter",This is a mock draft reply. Please check your settings.,3,3,4,3,3,3.2,[MOCK] API is offline. Returning default median mock scores.
eaf17a91-5c41-4776-9878-33b158537466,@115858 these new updates are awful. Still glitchy and what is this ➡️ I️,This is a mock draft reply. Please check your settings.,3,3,4,3,3,3.2,[MOCK] API is offline. Returning default median mock scores.
ca44096b-234f-4257-8a1c-0d9d428812ad,Hey @AppleSupport what’s up with this I️ thing on all my social media,This is a mock draft reply. Please check your settings.,3,3,4,3,3,3.2,[MOCK] API is offline. Returning default median mock scores.
99ea5623-82d0-400a-be64-76f3b8b4b4ff,@AppleSupport still no haptic feedback on iPhone keyboard 📱 after new update. ??? Has this been disabled.,This is a mock draft reply. Please check your settings.,3,3,4,3,3,3.2,[MOCK] API is offline. Returning default median mock scores.
34533b9b-9138-44ae-a089-a59015ff25f3,@116333 plz do something for iphone 7plus battery. Its getting drained very quickly @AppleSupport @115858 @1542 @16166,This is a mock draft reply. Please check your settings.,3,3,4,3,3,3.2,[MOCK] API is offline. Returning default median mock scores.
50e59a10-c253-46d9-a0b5-2109e828f2db,"@115858 over an hour on hold, failing to speak to someone at Southampton store!",This is a mock draft reply. Please check your settings.,3,3,4,3,3,3.2,[MOCK] API is offline. Returning default median mock scores.
